timestamp,alertname,value
2021-07-15 09:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 10:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 10:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 10:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 10:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 10:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 10:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 11:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 11:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 11:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 11:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 11:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 11:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 12:00:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 12:10:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 12:20:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 12:30:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 12:40:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-15 12:50:00,APIRemovedInNextEUSReleaseInUse,4882.0
2021-07-14 10:10:00,APIRemovedInNextReleaseInUse,1089.0
2021-07-14 10:20:00,APIRemovedInNextReleaseInUse,1094.0
2021-07-14 10:30:00,APIRemovedInNextReleaseInUse,1150.0
2021-07-14 10:40:00,APIRemovedInNextReleaseInUse,1206.0
2021-07-14 10:50:00,APIRemovedInNextReleaseInUse,1259.0
2021-07-14 11:00:00,APIRemovedInNextReleaseInUse,1315.0
2021-07-14 11:10:00,APIRemovedInNextReleaseInUse,1366.0
2021-07-14 11:20:00,APIRemovedInNextReleaseInUse,1408.0
2021-07-14 11:30:00,APIRemovedInNextReleaseInUse,1463.0
2021-07-14 11:40:00,APIRemovedInNextReleaseInUse,1490.0
2021-07-14 11:50:00,APIRemovedInNextReleaseInUse,1533.0
2021-07-14 12:00:00,APIRemovedInNextReleaseInUse,1607.0
2021-07-14 12:10:00,APIRemovedInNextReleaseInUse,1627.0
2021-07-14 12:20:00,APIRemovedInNextReleaseInUse,1629.0
2021-07-14 12:30:00,APIRemovedInNextReleaseInUse,1629.0
2021-07-14 12:40:00,APIRemovedInNextReleaseInUse,1627.0
2021-07-14 12:50:00,APIRemovedInNextReleaseInUse,1592.0
2021-07-14 13:00:00,APIRemovedInNextReleaseInUse,1538.0
2021-07-14 13:10:00,APIRemovedInNextReleaseInUse,1476.0
2021-07-14 13:20:00,APIRemovedInNextReleaseInUse,1421.0
2021-07-14 13:30:00,APIRemovedInNextReleaseInUse,1370.0
2021-07-14 13:40:00,APIRemovedInNextReleaseInUse,1327.0
2021-07-14 13:50:00,APIRemovedInNextReleaseInUse,1313.0
2021-07-14 14:00:00,APIRemovedInNextReleaseInUse,1327.0
2021-07-14 14:10:00,APIRemovedInNextReleaseInUse,1311.0
2021-07-14 14:20:00,APIRemovedInNextReleaseInUse,1231.0
2021-07-14 14:30:00,APIRemovedInNextReleaseInUse,1189.0
2021-07-14 14:40:00,APIRemovedInNextReleaseInUse,1169.0
2021-07-14 14:50:00,APIRemovedInNextReleaseInUse,1166.0
2021-07-14 15:00:00,APIRemovedInNextReleaseInUse,1162.0
2021-07-14 15:10:00,APIRemovedInNextReleaseInUse,1196.0
2021-07-14 15:20:00,APIRemovedInNextReleaseInUse,1281.0
2021-07-14 15:30:00,APIRemovedInNextReleaseInUse,1348.0
2021-07-14 15:40:00,APIRemovedInNextReleaseInUse,1335.0
2021-07-14 15:50:00,APIRemovedInNextReleaseInUse,1357.0
2021-07-14 16:00:00,APIRemovedInNextReleaseInUse,1396.0
2021-07-14 16:10:00,APIRemovedInNextReleaseInUse,1448.0
2021-07-14 16:20:00,APIRemovedInNextReleaseInUse,1483.0
2021-07-14 16:30:00,APIRemovedInNextReleaseInUse,1514.0
2021-07-14 16:40:00,APIRemovedInNextReleaseInUse,1592.0
2021-07-14 16:50:00,APIRemovedInNextReleaseInUse,1624.0
2021-07-14 17:00:00,APIRemovedInNextReleaseInUse,1628.0
2021-07-14 17:10:00,APIRemovedInNextReleaseInUse,1629.0
2021-07-14 17:20:00,APIRemovedInNextReleaseInUse,1630.0
2021-07-14 17:30:00,APIRemovedInNextReleaseInUse,1630.0
2021-07-14 17:40:00,APIRemovedInNextReleaseInUse,1630.0
2021-07-14 17:50:00,APIRemovedInNextReleaseInUse,1630.0
2021-07-14 18:00:00,APIRemovedInNextReleaseInUse,1630.0
2021-07-14 18:10:00,APIRemovedInNextReleaseInUse,1630.0
2021-07-14 18:20:00,APIRemovedInNextReleaseInUse,1630.0
2021-07-14 18:30:00,APIRemovedInNextReleaseInUse,1630.0
2021-07-14 18:40:00,APIRemovedInNextReleaseInUse,1661.0
2021-07-14 18:50:00,APIRemovedInNextReleaseInUse,3234.0
2021-07-14 19:00:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 19:10:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 19:20:00,APIRemovedInNextReleaseInUse,4882.0
2021-07-14 19:30:00,APIRemovedInNextReleaseInUse,4882.0
